"dbo","dot_moi","so_moi","stt_moi","dm_capbu"
"13122010043","01","01","00005","0"
"13122010044","01","01","00010","0"
"13122010045","01","01","00015","0"
"13122010046","01","01","00020","0"
"13122010047","01","01","00025","0"
"13122010048","01","01","00030","0"
"13122010049","01","01","00035","0"
"13122010051","01","01","00040","0"
"13122010052","01","01","00045","0"
"13122010053","01","01","00050","0"
"13122010054","01","01","00055","0"
"13122010055","01","01","00060","0"
"13122010056","01","01","00065","0"
"13122010057","01","01","00070","0"
"13122010058","01","01","00075","0"
"13122010059","01","01","00080","0"
"13122010061","01","01","00085","0"
"13122010062","01","01","00090","0"
"13122010063","01","01","00095","0"
"13122010064","01","01","00100","0"
"13122010065","01","01","00105","0"
"13132118797","01","01","00110","0"
"13122010067","01","01","00115","0"
"13122010069","01","01","00120","0"
"13122010068","01","01","00125","0"
"13122010071","01","01","00130","0"
"13122010072","01","01","00135","0"
"13122010073","01","01","00140","0"
"13122010074","01","01","00145","0"
"13122010024","01","01","00150","0"
"13122010075","01","01","00155","0"
"13122010076","01","01","00160","0"
"13122010077","01","01","00165","0"
"13122010078","01","01","00170","0"
"13132118790","01","01","00175","0"
"13132118798","01","01","00180","0"
"13132118800","01","01","00185","0"
"13132118801","01","01","00190","0"
"13132118802","01","01","00195","0"
"13122010079","01","01","00200","0"
"13132118804","01","01","00205","0"
"13132118791","01","01","00210","0"
"13122010084","01","01","00215","0"
"13132118792","01","01","00220","0"
"13132118805","01","01","00225","0"
"13122010083","01","01","00230","0"
"13122011000","01","01","00235","0"
"13122011001","01","01","00240","0"
"13122011005","01","01","00245","0"
"13122011002","01","01","00250","0"
"13122011003","01","01","00255","0"
"13122011004","01","01","00260","0"
"13122010082","01","01","00265","0"
"13122011250","01","01","00270","0"
"13122011258","01","01","00275","0"
"13122011252","01","01","00280","0"
"13122011253","01","01","00285","0"
"13122011257","01","01","00290","0"
"13122011256","01","01","00295","0"
"13122011259","01","01","00300","0"
"13122011260","01","01","00305","0"
"13122011261","01","01","00310","0"
"13122011262","01","01","00315","0"
"13122011264","01","01","00320","0"
"13122011263","01","01","00325","0"
"13122011265","01","01","00330","0"
"13122011266","01","01","00335","0"
"13122011267","01","01","00340","0"
"13122011268","01","01","00345","0"
"13122011269","01","01","00350","0"
"13122011270","01","01","00355","0"
"13122011271","01","01","00360","0"
"13122011274","01","01","00365","0"
"13122011273","01","01","00370","0"
"13122011275","01","01","00375","0"
"13122011276","01","01","00380","0"
"13122011277","01","01","00385","0"
"13122011278","01","01","00390","0"
"13122011279","01","01","00395","0"
"13122011280","01","01","00400","0"
"13122011281","01","01","00405","0"
"13122011284","01","01","00410","0"
"13122011282","01","01","00415","0"
"13122011283","01","01","00420","0"
"13122011285","01","01","00425","0"
"13122011286","01","01","00430","0"
"13122011287","01","01","00435","0"
"13122011288","01","01","00440","0"
"13122011289","01","01","00445","0"
"13122011290","01","01","00450","0"
"13122011291","01","01","00455","0"
"13122011292","01","01","00460","0"
"13122011293","01","01","00465","0"
"13122011297","01","01","00470","0"
"13122011298","01","01","00475","0"
"13122011325","01","01","00480","0"
"13122011323","01","01","00485","0"
"13122011322","01","01","00490","0"
"13122011321","01","01","00495","0"
"13122011320","01","01","00500","0"
"13122011567","01","01","00505","0"
"13122011568","01","01","00510","0"
"13122011569","01","01","00515","0"
"13122011571","01","01","00520","0"
"13122011570","01","01","00525","0"
"13122011566","01","01","00530","0"
"13122011565","01","01","00535","0"
"13122011564","01","01","00540","0"
"13122011563","01","01","00545","0"
"13122011562","01","01","00550","0"
"13122011561","01","01","00555","0"
"13122011560","01","01","00560","0"
"13122011559","01","01","00565","0"
"13122011557","01","01","00570","0"
"13122011556","01","01","00575","0"
"13122011555","01","01","00580","0"
"13122011554","01","01","00585","0"
"13122011553","01","01","00590","0"
"13122011552","01","01","00595","0"
"13122011549","01","01","00600","0"
"13122011548","01","01","00605","0"
"13122011547","01","01","00610","0"
"13122011546","01","01","00615","0"
"13122011545","01","01","00620","0"
"13122011544","01","01","00625","0"
"13122011543","01","01","00630","0"
"13122011541","01","01","00635","0"
"13122011542","01","01","00640","0"
"13122011539","01","01","00645","0"
"13122011176","01","02","00005","0"
"13122011175","01","02","00010","0"
"13122011174","01","02","00015","0"
"13122011163","01","02","00020","0"
"13122011172","01","02","00025","0"
"13122011171","01","02","00030","0"
"13122011170","01","02","00035","0"
"13122011164","01","02","00040","0"
"13122011173","01","02","00045","0"
"13122011167","01","02","00050","0"
"13122011166","01","02","00055","0"
"13122011169","01","02","00060","0"
"13122011168","01","02","00065","0"
"13122011162","01","02","00070","0"
"13122011161","01","02","00075","0"
"13122011160","01","02","00080","0"
"13122011159","01","02","00085","0"
"13122011158","01","02","00090","0"
"13122011157","01","02","00095","0"
"13122011156","01","02","00100","0"
"13122011155","01","02","00105","0"
"13122011154","01","02","00110","0"
"13122011153","01","02","00115","0"
"13122011152","01","02","00120","0"
"13122011151","01","02","00125","0"
"13122011149","01","02","00130","0"
"13122011148","01","02","00135","0"
"13122011147","01","02","00140","0"
"13122011146","01","02","00145","0"
"13122011145","01","02","00150","0"
"13122011143","01","02","00155","0"
"13122011141","01","02","00160","0"
"13122011140","01","02","00165","0"
"13122011138","01","02","00170","0"
"13122011136","01","02","00175","0"
"13122011137","01","02","00180","0"
"13122011135","01","02","00185","0"
"13122011134","01","02","00190","0"
"13122011131","01","02","00195","0"
"13122011130","01","02","00200","0"
"13122011129","01","02","00205","0"
"13122011127","01","02","00210","0"
"13122011126","01","02","00215","0"
"13122011125","01","02","00220","0"
"13122011124","01","02","00225","0"
"13122011123","01","02","00230","0"
"13122011122","01","02","00235","0"
"13122011120","01","02","00240","0"
"13122011119","01","02","00245","0"
"13122011116","01","02","00250","0"
"13122011114","01","02","00255","0"
"13122011110","01","02","00260","0"
"13122011109","01","02","00265","0"
"13122011106","01","02","00270","0"
"13122011104","01","02","00275","0"
"13122011101","01","02","00280","0"
"13122011100","01","02","00285","0"
"13122010087","01","02","00290","0"
"13122011009","01","02","00295","0"
"13122010088","01","02","00300","0"
"13122010089","01","02","00305","0"
"13122011036","01","02","00310","0"
"13122011012","01","02","00315","0"
"13122011177","01","02","00320","0"
"13122011178","01","02","00325","0"
"13122011179","01","02","00330","0"
"13122011180","01","02","00335","0"
"13122011181","01","02","00340","0"
"13122011182","01","02","00345","0"
"13122011183","01","02","00350","0"
"13122011185","01","02","00355","0"
"13122011184","01","02","00360","0"
"13122011186","01","02","00365","0"
"13122011187","01","02","00370","0"
"13122011188","01","02","00375","0"
"13122011189","01","02","00380","0"
"13122011190","01","02","00385","0"
"13122011191","01","02","00390","0"
"13122011192","01","02","00395","0"
"13122011193","01","02","00400","0"
"13122011194","01","02","00405","0"
"13122011195","01","02","00410","0"
"13122011196","01","02","00415","0"
"13122011197","01","02","00420","0"
"13122011200","01","02","00425","0"
"13122011201","01","02","00430","0"
"13122011202","01","02","00435","0"
"13122011203","01","02","00440","0"
"13122011204","01","02","00445","0"
"13122011205","01","02","00450","0"
"13122011208","01","02","00455","0"
"13122011206","01","02","00460","0"
"13122011207","01","02","00465","0"
"13122011211","01","02","00470","0"
"13122011209","01","02","00475","0"
"13122010185","01","02","00480","0"
"13122010197","01","02","00485","0"
"13122011212","01","02","00490","0"
"13122010192","01","02","00495","0"
"13122011231","01","02","00500","0"
"13122010186","01","02","00505","0"
"13122010188","01","02","00510","0"
"13122010191","01","02","00515","0"
"13122010194","01","02","00520","0"
"13122010176","01","02","00525","0"
"13122010177","01","02","00530","0"
"13122010195","01","02","00535","0"
"13122011235","01","02","00540","0"
"13122011210","01","02","00545","0"
"13122011230","01","02","00550","0"
"13122011229","01","02","00555","0"
"13122011228","01","02","00560","0"
"13122010187","01","02","00565","0"
"13122011226","01","02","00570","0"
"13122010189","01","02","00575","0"
"13122011014","01","02","00580","0"
"13122011016","01","02","00585","0"
"13122011017","01","02","00590","0"
"13122011018","01","02","00595","0"
"13122011020","01","02","00600","0"
"13122010216","01","02","00605","0"
"13122010217","01","02","00610","0"
"13122010222","01","02","00615","0"
"13122010218","01","02","00620","0"
"13122010219","01","02","00625","0"
"13122010224","01","02","00630","0"
"13122010225","01","02","00635","0"
"13122010226","01","02","00640","0"
"13122010227","01","02","00645","0"
"13122010172","01","02","00650","0"
"13122010232","01","02","00655","0"
"13122010171","01","02","00660","0"
"13122010238","01","02","00665","0"
"13122010169","01","02","00670","0"
"13122010237","01","02","00675","0"
"13122010193","01","03","00005","0"
"13122010244","01","03","00010","0"
"13122010239","01","03","00015","0"
"13122010167","01","03","00020","0"
"13122010168","01","03","00025","0"
"13122010246","01","03","00030","0"
"13122010242","01","03","00035","0"
"13122010208","01","03","00040","0"
"13122010094","01","03","00045","0"
"13122010179","01","03","00050","0"
"13122010215","01","03","00055","0"
"13122010161","01","03","00060","0"
"13122010173","01","03","00065","0"
"13122010252","01","03","00070","0"
"13122010204","01","03","00075","0"
"13122010214","01","03","00080","0"
"13122010209","01","03","00085","0"
"13122010243","01","03","00090","0"
"13122010233","01","03","00095","0"
"13122010203","01","03","00100","0"
"13122010166","01","03","00105","0"
"13122010164","01","03","00110","0"
"13122010207","01","03","00115","0"
"13122010206","01","03","00120","0"
"13122010234","01","03","00125","0"
"13122010165","01","03","00130","0"
"13122010223","01","03","00135","0"
"13122010163","01","03","00140","0"
"13122010231","01","03","00145","0"
"13122010228","01","03","00150","0"
"13122010174","01","03","00155","0"
"13122010229","01","03","00160","0"
"13122010196","01","03","00165","0"
"13122010175","01","03","00170","0"
"13122010157","01","03","00175","0"
"13122010159","01","03","00180","0"
"13122010158","01","03","00185","0"
"13122010199","01","03","00190","0"
