"dbo","dot_moi","so_moi","stt_moi","dm_capbu"
"13011030051","01","16","00050","0"
"13011030050","01","16","00100","0"
"13011030041","01","16","00150","0"
"13011030042","01","16","00200","0"
"13011030034","01","16","00250","0"
"13011030030","01","16","00300","0"
"13011030025","01","16","00350","0"
"13011030010","01","16","00400","0"
"13011030020","01","16","00450","0"
"13011010010","01","16","00500","0"
"13011010020","01","16","00550","0"
"13011010030","01","16","00600","0"
"13011010035","01","16","00650","0"
"13011010036","01","16","00700","0"
"13011010040","01","16","00750","0"
"13011010050","01","16","00800","0"
"13011010070","01","16","00850","0"
"13011010080","01","16","00900","0"
"13011010090","01","16","00950","0"
"13011010360","01","16","01000","0"
"13011035510","01","16","01050","0"
"13011034513","01","16","01100","0"
"13011034512","01","16","01150","0"
"13011034517","01","16","01200","0"
"13011034521","01","16","01250","0"
"13011034522","01","16","01300","0"
"13011010411","01","16","01350","0"
"13011034524","01","16","01400","0"
"13011034510","01","16","01450","0"
"13011034515","01","16","01500","0"
"13011034520","01","16","01550","0"
"13011034530","01","16","01600","0"
"13011034540","01","16","01650","0"
"13011034550","01","16","01700","0"
"13011034560","01","16","01750","0"
"13011035530","01","16","01800","0"
"13011035520","01","16","01850","0"
"13011034570","01","16","01900","0"
"13011034580","01","16","01950","0"
"13011034590","01","16","02000","0"
"13011034600","01","16","02050","0"
"13011034610","01","16","02100","0"
"13011034612","01","16","02150","0"
"13011034620","01","16","02200","0"
"13011034630","01","16","02250","0"
"13011034635","01","16","02300","0"
"13011034650","01","16","02350","0"
"13011034660","01","16","02400","0"
"13011034670","01","16","02450","0"
"13011034680","01","16","02500","0"
"13011034700","01","16","02550","0"
"13011034710","01","16","02600","0"
"13011034720","01","16","02650","0"
"13011034730","01","16","02700","0"
"13011034740","01","16","02750","0"
"13011034750","01","16","02800","0"
"13011034760","01","16","02850","0"
"13011034770","01","16","02900","0"
"13011034780","01","16","02950","0"
"13011034800","01","16","03000","0"
"13011034820","01","16","03050","0"
"13011034810","01","16","03100","0"
"13011034830","01","16","03150","0"
"13011034841","01","16","03200","0"
"13011034840","01","16","03250","0"
"13011034850","01","16","03300","0"
"13011034851","01","16","03350","0"
"13011034852","01","16","03400","0"
"13011034859","01","16","03450","0"
"13011034858","01","16","03500","0"
"13011034860","01","16","03550","0"
"13011034861","01","16","03600","0"
"13011034870","01","16","03650","0"
"13011034880","01","16","03700","0"
"13011034890","01","16","03750","0"
"13011034904","01","16","03800","0"
"13011034905","01","16","03850","0"
"13011034910","01","16","03900","0"
"13011034912","01","16","03950","0"
"13011034920","01","16","04000","0"
"13011034930","01","16","04050","0"
"13011034940","01","16","04100","0"
"13011034945","01","16","04150","0"
"13011034950","01","16","04200","0"
"13011034955","01","16","04250","0"
"13011034960","01","16","04300","0"
"13011034970","01","16","04350","0"
"13011034980","01","16","04400","0"
"13011034990","01","16","04450","0"
"13011035000","01","16","04500","0"
"13011035010","01","16","04550","0"
"13011035020","01","16","04600","0"
"13011035022","01","16","04650","0"
"13011035030","01","16","04700","0"
"13011035105","01","16","04750","0"
"13011035050","01","16","04800","0"
"13011035070","01","16","04850","0"
"13011035060","01","16","04900","0"
"13011035065","01","16","04950","0"
"13011035067","01","16","05000","0"
"13011035080","01","16","05050","0"
"13011035088","01","16","05100","0"
"13011035090","01","16","05150","0"
"13011035100","01","16","05200","0"
"13011035110","01","16","05250","0"
"13011035120","01","16","05300","0"
"13011035130","01","16","05350","0"
"13011035140","01","16","05400","0"
"13011035145","01","16","05450","0"
"13011035150","01","16","05500","0"
"13011035160","01","16","05550","0"
"13011035170","01","16","05600","0"
"13011035180","01","16","05650","0"
"13011035190","01","16","05700","0"
"13011035195","01","16","05750","0"
"13011035200","01","16","05800","0"
"13011035210","01","16","05850","0"
"13011035220","01","16","05900","0"
"13011035230","01","16","05950","0"
"13011035240","01","16","06000","0"
"13011035250","01","16","06050","0"
"13011035260","01","16","06100","0"
"13011036860","01","16","06150","0"
"13011036858","01","16","06200","0"
"13011036856","01","16","06250","0"
"13011036854","01","16","06300","0"
"13011036852","01","16","06350","0"
"13011036850","01","16","06400","0"
"13011036849","01","16","06450","0"
"13011036848","01","16","06500","0"
"13011036844","01","16","06550","0"
"13011036842","01","16","06600","0"
"13011036840","01","16","06650","0"
"13011036837","01","16","06700","0"
"13011036836","01","16","06750","0"
"13011036834","01","16","06800","0"
"13011036831","01","16","06850","0"
"13011036830","01","16","06900","0"
"13011036828","01","16","06950","0"
"13011036826","01","16","07000","0"
"13011036824","01","16","07050","0"
"13011036822","01","16","07100","0"
"13011036820","01","16","07150","0"
"13011036819","01","16","07200","0"
"13011036846","01","16","07250","0"
"13011036813","01","16","07300","0"
"13011036811","01","16","07350","0"
"13011036808","01","16","07400","0"
"13011036806","01","16","07450","0"
"13011036805","01","16","07500","0"
"13011036800","01","16","07550","0"
"13011036798","01","16","07600","0"
"13011036797","01","16","07650","0"
"13011036795","01","16","07700","0"
"13011036791","01","16","07750","0"
"13011036790","01","16","07800","0"
